reel_url,account,views,likes,comments,hook_score,story_score,cta_score,visual_score,audio_score,cta_type,framework_name,visual_style,proof_before_10s,hook_score_confidence,story_score_confidence,cta_score_confidence,visual_score_confidence,audio_score_confidence,ok,error,caption
https://www.instagram.com/reel/DPhbFEkkU41/,nicktarmo,1.3M,55.6K,181,3.97,2.23,3.05,2.62,0.85,soft,list,text_heavy,0.22,0.83,0.53,0.34,0.33,0.44,True,,the biggest gold rush is right now. take advantage of it. either learn how to: - build - market - sell this is part 1. part 2 is on my page. #explore #fyp
https://www.instagram.com/reel/DdAFS1PRxQO/,nicktarmo,99.2K,"2,432","1,662",3.52,1.99,4.09,2.63,0.01,comment_magnet,list,ranking,0.4,0.67,0.21,0.92,0.03,1.0,True,,Listicle method explained in 90 seconds. Comment “Guide” for the prompt guide mentioned!
https://www.instagram.com/reel/DdAZeiTsMiM/,nicktarmo,67.7K,,,0.0,0.01,0.0,0.58,0.0,none,other,other,0.32,1.0,0.99,1.0,0.61,1.0,True,,
https://www.instagram.com/reel/DdG7x0kRbQZ/,nicktarmo,109K,"2,182",160,3.94,2.33,4.02,2.66,0.01,comment_magnet,list,ranking,0.39,0.83,0.36,0.93,0.02,1.0,True,,10/10 signs that the person you’re talking to might unfortunately have low agency. The good thing is that we can develop agency ourselves! Comment “agency” to get my favourite articles about high agency
https://www.instagram.com/reel/DdXDuy6BNOS/,nicktarmo,73.1K,,,0.0,0.01,0.0,0.61,0.0,none,other,other,0.32,1.0,0.99,1.0,0.59,1.0,True,,
https://www.instagram.com/reel/DaLuZg2xyaM/,nicktarmo,79.4K,,,0.0,0.01,0.0,0.49,0.0,none,other,other,0.32,1.0,0.99,1.0,0.67,1.0,True,,
https://www.instagram.com/reel/DdR_2crBNxK/,nicktarmo,23.3K,,,0.0,0.0,0.0,0.07,0.0,none,other,other,0.3,1.0,1.0,1.0,0.96,1.0,True,,
https://www.instagram.com/reel/Dc1FWmpx5mh/,nicktarmo,34.8K,,,0.0,0.01,0.0,0.08,0.0,none,other,other,0.3,1.0,1.0,1.0,0.94,1.0,True,,
https://www.instagram.com/reel/DdChxWZtIzc/,nicktarmo,35K,,,0.0,0.01,0.0,0.07,0.0,none,other,other,0.31,1.0,1.0,1.0,0.95,1.0,True,,
https://www.instagram.com/reel/DdUQFX6xY96/,nicktarmo,25.6K,,,0.0,0.01,0.0,0.11,0.0,none,other,other,0.31,1.0,1.0,1.0,0.93,1.0,True,,
